Review,SENTIMEN
"['puas', 'belanja', 'di', 'shopee', 'banyak', 'diskon', 'dan', 'gratis', 'ongkir', 'penjualnya', 'baik', 'dan', 'kurir', 'sopan']",POSITIF
"['aplikasi', 'yang', 'bagus', 'dan', 'sangat', 'membantu']",POSITIF
"['saya', 'kecewa', 'kenapa', 'sekarang', 'shopee', 'sangat', 'eror', 'mau', 'checkout', 'aja', 'susah']",NEGATIF
"['shope', 'sangat', 'bagus', 'bagi', 'saya', 'saya', 'suka', 'banget', 'sama', 'shopee']",POSITIF
"['kecewa', 'katanya', 'gratis', 'ongkir', 'ternyata', 'mahalnya', 'gak', 'bisa', 'bayar', 'di', 'tempat', 'pula']",NEGATIF
"['kecewa', 'dengan', 'perubahan', 'ekspedisi', 'pengirimannya', 'bukannya', 'cepet', 'malah', 'tambah', 'lama', 'bukannya', 'ongkirnya', 'murah', 'malah', 'mahal']",NEGATIF
"['bagus', 'banget', 'aku', 'puas', 'pengemasan', 'rapi', 'banget', 'makasih', 'ya', 'seller']",POSITIF
"['aplikasi', 'sangat', 'bagus', 'dan', 'banyak', 'bonus']",POSITIF
"['aplikasinya', 'sering', 'eror', 'bikin', 'pusing', 'susah', 'bayar', 'susah', 'pencarian', 'juga']",NEGATIF
"['saya', 'udh', 'kecewa', 'banget', 'uang', 'saya', 'belum', 'kembali', 'soal', 'pesanan']",NEGATIF
"['shopee', 'emang', 'keren', 'bangetlah', 'tapi', 'sayang', 'shopee', 'later', 'gak', 'bisa', 'dipakai']",POSITIF
"['untuk', 'sampai', 'saat', 'ini', 'masih', 'bagus', 'pertahankan', 'yah']",POSITIF
"['bagus', 'tingkatkan', 'terus', 'ya', 'shopee']",POSITIF
"['shopee', 'keren', 'cuman', 'ada', 'yang', 'jual', 'terlalu', 'mahal', 'barangnya', 'mesti', 'seken']",POSITIF
"['bagus', 'banget', 'aplikasinya']",POSITIF
"['kelebihan', 'barang', 'yang', 'dijual', 'lengkap', 'dari', 'dalam', 'sampai', 'luat', 'negeri', 'ada', 'proses', 'pembayarannya', 'mudah', 'dan', 'aman', 'kekurangan', 'sering', 'loading', 'lama', 'banget', 'cuman', 'mau', 'masukin', 'barang', 'ke', 'keranjang', 'padahal', 'sudah', 'di', 'bersihkan', 'chace', 'nya', 'tambahan', 'sudah', 'versi', 'terbaru', 'plus', 'clear', 'chace', 'admin', 'tapi', 'masih', 'aja', 'loulasan', 'lengkap']",POSITIF
"['makasih', 'shopee', 'mantap', 'kali', 'lain', 'mau', 'pesan', 'lagi', 'bravo', 'shopee', 'masker', 'untuh', 'halangi', 'virus', 'korona', 'di', 'dunia', 'wabil', 'khusus', 'di', 'indonesia', 'raya', 'tercinta', 'ini', 'hehe']",POSITIF
"['suka', 'barang', 'nya', 'cuma', 'pengiriman', 'nya', 'yang', 'kadang', 'terlalu', 'lama']",POSITIF
"['selama', 'ini', 'barang', 'yang', 'dicari', 'selalu', 'ada']",POSITIF
"['terimakasih', 'shopee']",POSITIF
"['barang', 'sesuai', 'gambar']",POSITIF
"['suka', 'semoga', 'selalu', 'aman', 'amanah', 'ya', 'terimakasih', 'shopee']",POSITIF
"['pemesanan', 'dan', 'program', 'pemerintah', 'di', 'rumah', 'aja', 'tambah', 'makin', 'enak']",POSITIF
"['tetap', 'jaga', 'kepercayaan', 'pelanggan']",POSITIF
"['belanja', 'online', 'lebih', 'mudah']",POSITIF
"['pelayanannya', 'sangat', 'memuaskan']",POSITIF
"['sudah', 'baik', 'semoga', 'lebih', 'baik', 'lagi']",POSITIF
"['masih', 'ada', 'yang', 'perlu', 'dipantau', 'kualitas', 'dr', 'produsenterutama', 'barang', 'elektronik']",POSITIF
"['mantap', 'harganya', 'murah', 'bikin', 'pasar', 'ofline', 'ngadat']",POSITIF
"['aku', 'suka', 'aku', 'belanja', 'di', 'shopee', 'ini', 'dari', 'mula', 'nya', 'hidup', 'virus', 'covid', 'tapi', 'ongkir/harga', 'produknya', 'tolong', 'di', 'potong', 'agar', 'lebih', 'murah', 'jadi', 'bisa', 'beli', 'banyak']",POSITIF
"['tolong', 'perbaiki', 'lagi', 'performa', 'aplikasi', 'masak', 'aku', 'beli', 'alat', 'elektronik', 'total', 'belanja', 'ya', 'sering', 'lebih', 'ribu', 'bahkan', 'lebih', 'dari', 'hitungan', 'manual', 'ya', 'terpaksa', 'aku', 'kurangi', 'lagi', 'bintang']",POSITIF
"['nyaman', 'belanja', 'shopejadi', 'ribet']",POSITIF
"['makasih', 'shopee', 'belanja', 'jadi', 'lebih', 'mudah', 'tinggal', 'nunggu', 'di', 'rumah', 'pesanan', 'sampai', 'deh']",POSITIF
"['bagus', 'cuma', 'ada', 'beberapa', 'yang', 'perlu', 'ditambah']",POSITIF
"['selalu', 'ada', 'free', 'ongkir', 'dan', 'banyak', 'disc', 'cuma', 'yang', 'kurang', 'sering', 'belanja', 'ratusan', 'ribu', 'tapi', 'gak', 'ada', 'shopee', 'paylater', 'sementara', 'tmn', 'gw', 'yang', 'jarang', 'beli', 'ada', 'shopee', 'paylater']",POSITIF
"['puas', 'belanja', 'di', 'shopee', 'banyak', 'diskon', 'dan', 'gratis', 'ongkir', 'penjualnya', 'baik', 'dan', 'kurir', 'sopan']",POSITIF
"['masih', 'jadi', 'yang', 'terbaik', 'dengan', 'keamanan', 'dan', 'kenyamanan', 'yang', 'luar', 'biasa']",POSITIF
"['apakah', 'kalau', 'beli', 'barang', 'di', 'sini', 'harus', 'share', 'lokasi', 'soal', 'nya', 'gak', 'pernah', 'beli', 'online']",POSITIF
"['lebih', 'ditingkatkan', 'lagi', 'untuk', 'keaman', 'shopeepay', 'nya']",POSITIF
"['shopee', 'makin', 'keren']",POSITIF
"['harus', 'pinter', 'milih', 'toko', 'untuk', 'dapat', 'barang', 'murah', 'tapi', 'bagus', 'suka', 'dengan', 'free', 'ongkir', 'untuk', 'semua', 'toko', 'nya', 'shopee', 'sering', 'ya', 'bikin', 'promo', 'free', 'ongkir', 'nya', 'karenaa', 'kirim', 'ke', 'lokasi', 'aku', 'mahal', 'banget', 'kalo', 'ongkirnya']",POSITIF
"['lumayan', 'membantu', 'cuma', 'sayang', 'produk', '&', 'gambar', 'nya', 'terkadang', 'berbeda', 'jauh', 'ekspektasi', 'nya', 'tidak', 'seindah', 'kenyataan']",POSITIF
"['ya', 'karena', 'tidak', 'ad', 'yang', 'sempurna', 'aja', 'di', 'dunia', 'tapi', 'senang', 'shopee', 'selalu', 'meningkatkan', 'keamanan', 'dan', 'kenyamanan', 'pembeli', 'terimakasi', 'shopee']",POSITIF
"['asalamualikum', 'saya', 'mau', 'nanya', 'kalo', 'buka', 'shopee', 'pakai', 'email', 'atau', 'pasword', 'yang', 'sudah', 'pernah', 'downlod', 'dijawa', 'soalny', 'aku', 'baru', 'downlodmakasih']",POSITIF
"['harga', 'murah', 'cepat', 'sampaibanyakin', 'gratis', 'ongkir', 'jangan', 'mahal', 'ongkirnya', 'biar', 'yang', 'belanja', 'lebih', 'bnyak']",POSITIF
"['maaf', 'kak', 'ini', 'aplikasi', 'shopee', 'memang', 'bagus', 'banget', 'tapi', 'untuk', 'jasa', 'kirim', 'pakait', 'nya', 'mahal', 'banget', 'harganya', 'jadi', 'sampe', 'gitu', 'tolong', 'dong', 'diperbaiki', 'lagi', 'biar', 'makin', 'langganan', 'maaf', 'ya', 'kalau', 'ucapanku', 'mengganggu', 'tapi', 'aplikasi', 'nya', 'bagus', 'bangett', 'kok']",POSITIF
"['bagus', 'hanya', 'saja', 'kadang', 'suka', 'loading', 'lama']",POSITIF
"['saya', 'kasih', 'bintang', 'soalnya', 'lama', 'langganan', 'di', 'sini', 'cuma', 'saran', 'sdikit', 'perbaiki', 'agak', 'lemot', 'klau', 'louding', 'shopee', 'laterku', 'tiba', 'jadi', 'nol', 'padahal', 'tgihan', 'selalu', 'ku', 'bayar', 'jauh', 'sblm', 'jtuh', 'temponya', 'koin', 'permainan', 'tanam', 'ama', 'harian', 'smkin', 'sdkit', 'ongkir', 'untuk', 'lokalan', 'kok', 'gk', 'prnah', 'rp', 'dll']",POSITIF
"['kasi', 'bintang', 'ajasoalnya', 'saat', 'masuk', 'cari', 'produk', 'gd', 'mau', 'muncultolong', 'diperbaiki', 'donk']",POSITIF
"['shopee', 'sangat', 'membantu', 'apa', 'lagi', 'shopee', 'paylater', 'sayang', 'ongkir', 'geratis', 'jarang']",POSITIF
"['shopee', 'aplikasi', 'ok', 'sih', 'tapi', 'saya', 'mau', 'belanja', 'di', 'shopee', 'pas', 'saya', 'mau', 'chekout', 'kok', 'tiba', 'ada', 'masalah', 'ya', 'kyak', 'nggk', 'ada', 'rincian', 'belanjaan', 'gtu']",POSITIF
"['sangat', 'membantu', 'buat', 'kaum', 'mager', 'keluar', 'wkwk']",POSITIF
"['sejauh', 'ini', 'semua', 'pesanan', 'bagus', 'mudahn', 'kedepan', 'pelayanan', 'lebih', 'matang', 'lagi', 'lebih', 'mantap', 'lagi', 'lebih', 'melindungi', 'konsumen']",POSITIF
"['senang', 'sekali']",POSITIF
"['iklan', 'bagus', 'barang', 'nya', 'sesuai', 'pesanan']",POSITIF
"['alhamdulillah', 'aplikasi', 'yang', 'amanah']",POSITIF
"['pengalaman', 'baru', 'di', 'era', 'new', 'normal', 'seru', 'juga', 'belanja', 'di', 'aplikasi', 'ini']",POSITIF
"['masih', 'berjalan', 'mulusbelum', 'ada', 'kerugiansemoga', 'kedepannya', 'aku', 'bisa', 'dapat', 'undian', 'dari', 'shopee']",POSITIF
"['aplikasi', 'bagus', 'sangat', 'membantu']",POSITIF
"['oke', 'punya', 'deh', 'top']",POSITIF
"['keren', 'abis', 'nih']",POSITIF
"['sudah', 'langganan', 'belanja', 'disini']",POSITIF
"['semoga', 'kedepanya', 'semakin', 'ok']",POSITIF
"['saya', 'saranin', 'bisa', 'bayar', 'di', 'tempat']",POSITIF
"['aplikasi', 'belanja', 'yang', 'sangat', 'efektif', 'dan', 'bermanfaat']",POSITIF
